Company Name,Link
ADANIPORTS,https://www.moneycontrol.com/company-article/adaniportsspecialeconomiczone/news/MPS
ASIANPAINT,https://www.moneycontrol.com/company-article/asianpaints/news/AP31
AXISBANK,https://www.moneycontrol.com/company-article/axisbank/news/AB16
BAJAJ-AUTO,https://www.moneycontrol.com/company-article/bajajauto/news/BA10
BAJAJFINSV,https://www.moneycontrol.com/company-article/bajajfinserv/news/BF04
BAJFINANCE,https://www.moneycontrol.com/company-article/bajajfinance/news/BAF
BHARTIARTL,https://www.moneycontrol.com/company-article/bhartiairtel/news/BA08
BPCL,https://www.moneycontrol.com/company-article/bharatpetroleumcorporation/news/BPC
BRITANNIA,https://www.moneycontrol.com/company-article/britanniaindustries/news/BI
CIPLA,https://www.moneycontrol.com/company-article/cipla/news/C
COALINDIA,https://www.moneycontrol.com/company-article/coalindia/news/CI11
DRREDDY,https://www.moneycontrol.com/company-article/drreddyslaboratories/news/DRL
EICHERMOT,https://www.moneycontrol.com/company-article/eichermotors/news/EM
GAIL,https://www.moneycontrol.com/company-article/gailindia/news/GAI
GRASIM,https://www.moneycontrol.com/company-article/grasimindustries/news/GI01
HCLTECH,https://www.moneycontrol.com/company-article/hcltechnologies/news/HCL02
HDFC,https://www.moneycontrol.com/company-article/housingdevelopmentfinancecorporation/news/HDF
HDFCBANK,https://www.moneycontrol.com/company-article/hdfcbank/news/HDF01
HEROMOTOCO,https://www.moneycontrol.com/company-article/heromotocorp/news/HHM
HINDALCO,https://www.moneycontrol.com/company-article/hindalcoindustries/news/HI
HINDUNILVR,https://www.moneycontrol.com/company-article/hindustanunilever/news/HU
IBULHSGFIN,https://www.moneycontrol.com/company-article/indiabullshousingfinance/news/IHF01
ICICIBANK,https://www.moneycontrol.com/company-article/icicibank/news/ICI02
INDUSINDBK,https://www.moneycontrol.com/company-article/indusindbank/news/IIB
INFRATEL,https://www.moneycontrol.com/company-article/bhartiinfratel/news/BI14
INFY,https://www.moneycontrol.com/company-article/infosys/news/IT
IOC,https://www.moneycontrol.com/company-article/indianoilcorporation/news/IOC
ITC,https://www.moneycontrol.com/company-article/itc/news/ITC
JSWSTEEL,https://www.moneycontrol.com/company-article/jswsteel/news/JSW01
KOTAKBANK,https://www.moneycontrol.com/company-article/kotakmahindrabank/news/KMB
LT,https://www.moneycontrol.com/company-article/larsentoubro/news/LT
M&M,https://www.moneycontrol.com/company-article/mahindramahindra/news/MM
MARUTI,https://www.moneycontrol.com/company-article/marutisuzukiindia/news/MS24
NTPC,https://www.moneycontrol.com/company-article/ntpc/news/NTP
ONGC,https://www.moneycontrol.com/company-article/oilnaturalgascorporation/news/ONG
POWERGRID,https://www.moneycontrol.com/company-article/powergridcorporationindia/news/PGC
RELIANCE,https://www.moneycontrol.com/company-article/relianceindustries/news/RI
SBIN,https://www.moneycontrol.com/company-article/statebankindia/news/SBI
SUNPHARMA,https://www.moneycontrol.com/company-article/sunpharmaceuticalindustries/news/SPI
TATAMOTORS,https://www.moneycontrol.com/company-article/tatamotors/news/TM03
TATASTEEL,https://www.moneycontrol.com/company-article/tatasteel/news/TIS
TCS,https://www.moneycontrol.com/company-article/tataconsultancyservices/news/TCS
TECHM,https://www.moneycontrol.com/company-article/techmahindra/news/TM4
TITAN,https://www.moneycontrol.com/company-article/titancompany/news/TI01
ULTRACEMCO,https://www.moneycontrol.com/company-article/ultratechcement/news/UTC01
UPL,https://www.moneycontrol.com/company-article/upl/news/UP04
VEDL,https://www.moneycontrol.com/company-article/vedanta/news/SG
WIPRO,https://www.moneycontrol.com/company-article/wipro/news/W
YESBANK,https://www.moneycontrol.com/company-article/yesbank/news/YB
ZEEL,https://www.moneycontrol.com/company-article/zeeentertainmententerprises/news/ZEE
